Generation,FamilyID,M2BW_PD00,SurRate_PD00,gAnimalEBV_PD00,sAnimalEBV_PD00,gStdAnimalEBV_PD00,sStdAnimalEBV_PD00,gStdAnimalEBV,sStdAnimalEBV,SelIndex,FamilyClass,SireID,DamID,EnvLabel,TankID,M2Age2,M1BW,M2BW,ADG,M2BL,gAnimalEBV,SurRate,sAnimalEBV,sReSurRate,Inbreeding,M2BWAllEnvs
G02,MRYGY18G0201131,37.70789474,0.76374269,0.447542864,0.2200922,0.494502012,0.506225164,0.494502012,0.506225164,50.27039512,T2G00/T1G01,MRYGY17G000F167,MRYGY17G010B314,PD00,P10,174,1.18,40.94056604,0.358113208,11.30471698,0.62645685,0.706666667,0.2200922,0.555953993,0,37.70789474
G02,MRYGY18G0201131,37.70789474,0.76374269,0.447542864,0.2200922,0.494502012,0.506225164,0.494502012,0.506225164,50.27039512,T2G00/T1G01,MRYGY17G000F167,MRYGY17G010B314,PD00,P11,160,1.49,34.89918033,0.344180328,10.84262295,0.292093007,0.813333333,0.2200922,0.555953993,0,37.70789474
G02,MRYGY18G0201141,29.57911111,0.753333333,3.127026875,0.1664592,0.498211773,0.504090839,0.498211773,0.504090839,61.25024994,T2G00/T1G01,MRYGY17G000F012,MRYGY17G010C815,PD00,P10,153,1,31.53809524,0.293904762,10.46952381,3.294054312,0.7,0.1664592,0.534698384,0,29.57911111
G02,MRYGY18G0201141,29.57911111,0.753333333,3.127026875,0.1664592,0.498211773,0.504090839,0.498211773,0.504090839,61.25024994,T2G00/T1G01,MRYGY17G000F012,MRYGY17G010C815,PD00,P11,139,0.96,27.865,0.298833333,9.9225,2.980877868,0.8,0.1664592,0.534698384,0,29.57911111
G02,MRYGY18G0201151,33.46743363,0.755457227,4.312001783,0.1981074,0.499852442,0.505350302,0.499852442,0.505350302,69.815712,T2G00/T1G01,MRYGY17G000F140,MRYGY17G010B161,PD00,P10,157,1.12,35.1564486,0.323925234,10.85607477,4.329680758,0.713333333,0.1981074,0.54725699,0,33.46743363
G02,MRYGY18G0201151,33.46743363,0.755457227,4.312001783,0.1981074,0.499852442,0.505350302,0.499852442,0.505350302,69.815712,T2G00/T1G01,MRYGY17G000F140,MRYGY17G010B161,PD00,P11,143,1.04,31.9487395,0.339915966,10.52857143,4.296105562,0.793333333,0.1981074,0.54725699,0,33.46743363
G02,MRYGY18G0201172,37.81363636,0.806666667,5.410745041,0.2103737,0.501373743,0.505838431,0.501373743,0.505838431,76.61366851,T2G00/NP,MRYGY17G000D076,MRYGY17G010B425,PD00,P10,168,1.21,39.21570248,0.348842975,11.30991736,5.412436364,0.806666667,0.2103737,0.552112505,0,37.81363636
G02,MRYGY18G0201172,37.81363636,0.806666667,5.410745041,0.2103737,0.501373743,0.505838431,0.501373743,0.505838431,76.61366851,T2G00/NP,MRYGY17G000D076,MRYGY17G010B425,PD00,P11,154,1.32,36.41157025,0.369669421,10.97190083,5.409053719,0.806666667,0.2103737,0.552112505,0,37.81363636
G02,MRYGY18G0202011,52.10247525,0.676567657,8.519888614,0.1033886,0.505678325,0.50158076,0.505678325,0.50158076,86.35537792,NP,MRYGY17G010A103,MRYGY17G010E389,PD00,P10,174,1.31,52.88404255,0.464574468,12.05638298,8.377553191,0.626666667,0.1033886,0.509579798,0,52.10247525
G02,MRYGY18G0202011,52.10247525,0.676567657,8.519888614,0.1033886,0.505678325,0.50158076,0.505678325,0.50158076,86.35537792,NP,MRYGY17G010A103,MRYGY17G010E389,PD00,P11,160,1.49,51.42222222,0.51462963,12.00648148,8.643773148,0.72,0.1033886,0.509579798,0,52.10247525
G02,MRYGY18G0202012,47.13130435,0.767188406,8.501939565,0.1124715,0.50565349,0.501942248,0.50565349,0.501942248,86.86640936,NP,MRYGY17G010A103,MRYGY17G010E689,PD00,P10,172,1.28,49.1559322,0.435169492,12.01779661,8.613638983,0.786666667,0.1124715,0.513201861,0,47.13130435
G02,MRYGY18G0202012,47.13130435,0.767188406,8.501939565,0.1124715,0.50565349,0.501942248,0.50565349,0.501942248,86.86640936,NP,MRYGY17G010A103,MRYGY17G010E689,PD00,P11,158,1.44,44.99821429,0.454017857,11.67767857,8.38425625,0.746666667,0.1124715,0.513201861,0,47.13130435
G02,MRYGY18G0202021,38.52232558,0.724868217,5.558106512,0.1068264,0.501577774,0.50171758,0.501577774,0.50171758,70.477445,NP/T2G00,MRYGY17G010D620,MRYGY17G000B158,PD00,P10,171,1.14,39.65729167,0.350833333,11.37291667,5.542217708,0.64,0.1068264,0.510950827,0,38.52232558
